"CheckId","Category","Severity","Status","Authority","Verified","Confidence","EvidenceLineNo","Evidence","Remediation","RemediationState","RemediationNotes"
"ACL-ANY-ANY","access","High","finding","Cisco hardening guide","False","heuristic","80","access-list outside_in extended permit ip any any","Review each permit ip any any rule and scope it to required sources, destinations, and services.","Open",""
"AUTH-AAA-SSH","auth","High","finding","CIS 1.4.3.5; STIG V-239940","True","deterministic","0","absent (absence)","Configure aaa authentication ssh console <server-group> LOCAL.","Open",""
"CRYPTO-SSL-TLS","crypto","High","finding","CIS 1.7.2; STIG V-239975","False","deterministic","128","ssl server-version tlsv1","Set ssl server-version tlsv1.2 (or higher) for WebVPN/management TLS.","Open",""
"CRYPTO-WEAK-VPN","crypto","High","finding","STIG V-239952/957/979","False","deterministic","116","crypto ipsec ikev1 transform-set legacy-ts esp-3des esp-md5-hmac","Migrate to IKEv2 with AES-256, SHA-2 integrity, and DH group 16 or higher.","Open",""
"LOG-HOST","logging","High","finding","CIS 1.10.3; STIG V-239943","True","deterministic","0","absent (absence)","Configure one or more logging host destinations (STIG requires two).","Open",""
"MGMT-CONSOLE-TIMEOUT","management","High","finding","CIS 1.8.1; STIG V-239920","False","deterministic","107","console timeout 0","Set console timeout to a value between 1 and 5 minutes.","Open",""
"MGMT-HTTP-TIMEOUT","management","High","finding","CIS 1.8.3; STIG V-239920","False","deterministic","101","http server enable","Set http server idle-timeout to 5 minutes or less (or disable the http server if unused).","Open",""
"MGMT-SSH-OUTSIDE","management","High","finding","CIS 1.6.1 (narrative)","False","deterministic","105","ssh 0.0.0.0 0.0.0.0 outside","Remove ssh access on the outside interface; restrict SSH to an internal management interface.","Open",""
"MGMT-SSH-TIMEOUT","management","High","finding","CIS 1.8.2; STIG V-239920","False","deterministic","106","ssh timeout 30","Set ssh timeout to 5 minutes or less.","Open",""
"MGMT-SSH-VERSION","management","High","finding","CIS 1.6.2","True","deterministic","0","absent (absence)","Configure: ssh version 2 (not applicable on ASA 9.16+, which is SSHv2-only).","Open",""
"MGMT-TELNET","management","High","finding","CIS 1.6.5; STIG V-239911","False","deterministic","103","telnet 10.10.20.0 255.255.255.0 inside","Remove all telnet access lines and use SSHv2 for management.","Open",""
"AUTH-AAA-SERIAL","auth","Medium","finding","CIS 1.4.3.4; STIG V-239940","True","deterministic","0","absent (absence)","Configure aaa authentication serial console <server-group> LOCAL.","Open",""
"AUTH-CMD-AUTHZ","auth","Medium","finding","CIS 1.4.4.1","False","deterministic","0","absent (absence)","Configure aaa authorization command <server-group> LOCAL.","Open",""
"AUTH-PW-COMPLEXITY","auth","Medium","finding","CIS 1.1.5; STIG V-239915/916/917/918","False","deterministic","0","absent (presence)","Configure password-policy minimum-uppercase/lowercase/numeric/special (>= 1 each).","Open",""
"AUTH-PW-LOCKOUT","auth","Medium","finding","CIS 1.4.1.1","False","deterministic","0","absent (absence)","Configure aaa local authentication attempts max-fail 3 (or per policy).","Open",""
"AUTH-PWPOLICY","auth","Medium","finding","CIS 1.1.5; STIG V-239914","True","deterministic","0","absent (absence)","Configure password-policy minimum-length and complexity (uppercase/lowercase/numeric/special).","Open",""
"AUTH-PWRECOVERY","auth","Medium","finding","CIS 1.1.4","True","deterministic","0","absent (absence)","Configure: no service password-recovery (ensure documented break-glass procedures).","Open",""
"CRYPTO-PFS","crypto","Medium","finding","STIG V-239954","False","heuristic","123","crypto map outside_map 10 match address split_tunnel","Configure set pfs (group 14 or higher) on the crypto map.","Open",""
"CRYPTO-SSL-CIPHER","crypto","Medium","finding","CIS 1.7.3","False","deterministic","129","ssl encryption rc4-sha1 aes128-sha1","Set ssl cipher to a high/strong cipher set (e.g., ssl cipher tlsv1.2 high).","Open",""
